LP,Nazwa,Kategoria,Lokalizacja,GPS,Vibe,Czas,Opis,Sezon/Godziny
33,Pałac Raczyńskich Rogalin,Historia/Sztuka,Rogalin,"52.2500, 16.9400",#barokowy #sztuka #park,2-3h,Pałac barokowy z galerią sztuki i parkiem,Wtorek-niedziela; 10:00-17:00
34,Dęby Rogalińskie,Natura/Pomniki,Rogalin,"52.2500, 16.9400",#pomniki przyrody #legendarne #spacer,1-2h,"Trzy legendarne dęby: Lech, Czech i Rus",Cały rok; dostęp 24/7
35,Zamek w Gołuchowie,Historia/Muzeum,Gołuchów,"51.8870, 17.9520",#renesansowy #kolekcja #park,2-3h,Zamek z kolekcją starożytności i galerią,Wtorek-niedziela; 10:00-17:00
36,Zamek w Rydzynie,Historia/Architektura,Rydzyna,"51.7970, 16.6610",#barokowy #pałacowy #muzeum,2-3h,Barokowa rezydencja z muzeum młynarstwa,Wtorek-niedziela; 10:00-17:00
37,Muzeum Młynarstwa Rydzyna,Technika/Historia,Rydzyna,"51.7970, 16.6610",#młynarstwo #tradycja #edukacyjne,1.5-2h,Muzeum z kolekcją młynów i wiatraków,Wtorek-niedziela; 10:00-17:00
38,Pałac w Dobrzycy,Historia/Park,Dobrzyca,"51.6560, 17.6570",#klasycystyczny #park #architektura,1-2h,Pałac klasycystyczny w parku krajobrazowym,Maj-wrzesień; 10:00-16:00
39,Zamek w Golczewie,Historia/Ruiny,Golczewo,"52.2800, 16.7200",#ruiny #średniowiecze #romantyczne,1-1.5h,Malownicze ruiny średniowiecznego zamku,Cały rok; dostęp 24/7
40,Pałac w Osiecznej,Historia/Muzeum,Osieczna,"51.8460, 16.7530",#klasycystyczny #młynarstwo #park,1.5-2h,Pałac z Muzeum Młynarstwa i Rolnictwa,Wtorek-niedziela; 10:00-16:00
41,Zamek w Kościanie,Historia/Architektura,Kościan,"52.0860, 16.6430",#renesansowy #muzeum #kulturowe,1-2h,Zamek renesansowy z muzeum regionalnym,Wtorek-niedziela; 10:00-17:00
42,Pałac w Antoninie,Historia/Relaks,Antonin,"51.6740, 17.8930",#drewniany #myśliwski #unikatowy,1.5-2h,Unikalny pałac myśliwski z drewna,Cały rok; 10:00-17:00
43,Zamek w Śmiglu,Historia/Muzeum,Śmigiel,"52.0110, 16.5450",#gotycki #muzeum #park,1-2h,Gotycki zamek z muzeum regionalnym,Wtorek-niedziela; 10:00-16:00
44,Pałac w Gostyniu,Historia/Relaks,Gostyń,"51.8820, 17.0110",#neorenesansowy #park #architektura,1-1.5h,Pałac neorenesansowy w parku,Maj-wrzesień; 10:00-16:00
45,Zamek w Oporowie,Historia/Muzeum,Oporowo,"52.3250, 19.1420",#gotycki #muzeum #park,2-3h,Gotycki zamek z muzeum wnętrz,Wtorek-niedziela; 10:00-17:00
46,Pałac w Pawłowicach,Historia/Park,Pawłowice,"51.6840, 17.5290",#klasycystyczny #park #zabytek,1-1.5h,Pałac klasycystyczny w parku krajobrazowym,Maj-wrzesień; 10:00-16:00
47,Zamek w Gołańczy,Historia/Relaks,Gołańcz,"52.9360, 17.3050",#neogotycki #hotel #park,1-2h,Zamek neogotycki dziś hotel,Cały rok; 9:00-18:00
48,Pałac w Kuźnicy Czarnkowskiej,Historia/Park,Kuźnica Czarnkowska,"52.9110, 16.5080",#klasycystyczny #park #architektura,1-1.5h,Pałac klasycystyczny w parku,Maj-wrzesień; 10:00-16:00
49,Zamek w Ostrorogu,Historia/Ruiny,Ostrów,"52.6610, 16.3380",#ruiny #średniowiecze #legendy,1-1.5h,Ruiny zamku rycerskiego nad Wartą,Cały rok; dostęp 24/7
50,Pałac w Kobylinie,Historia/Park,Kobylin,"51.7290, 17.2210",#neorenesansowy #park #zabytek,1-1.5h,Pałac neorenesansowy w parku,Maj-wrzesień; 10:00-16:00
51,Wiatrak w Rydzynie,Technika/Architektura,Rydzyna,"51.7970, 16.6610",#koźlak #młynarstwo #zabytek,0.5-1h,Zabytkowy wiatrak koźlak 14.5m wysokości,Maj-wrzesień; 10:00-17:00
52,Wiatrak w Osiecznej,Technika/Architektura,Osieczna,"51.8460, 16.7530",#koźlak #młynarstwo #muzeum,0.5-1h,Zabytkowy wiatrak z ekspozycją,Maj-wrzesień; 10:00-16:00
53,Wiatrak w Brenne,Technika/Architektura,Brenno,"51.8200, 16.6900",#koźlak #zabytek #zrekonstruowany,0.5-1h,Wyremontowany wiatrak koźlak,Maj-wrzesień; 10:00-16:00
54,Wiatrak w Krzywiniu,Technika/Architektura,Krzywiń,"51.9560, 16.5620",#koźlak #XVII w #zabytek,0.5-1h,Jeden z najstarszych wiatraków z XVII w.,Maj-wrzesień; 10:00-16:00
55,Wiatrak w Śmiglu,Technika/Architektura,Śmigiel,"52.0110, 16.5450",#koźlak #młynarstwo #tradycja,0.5-1h,Wiatrak koźlak na Szlaku Wiatracznym,Maj-wrzesień; 10:00-16:00
56,Wiatrak w Kościanie,Technika/Architektura,Kościan,"52.0860, 16.6430",#koźlak #zabytek #XVIII w,0.5-1h,Wiatrak koźlak z XVIII wieku,Maj-wrzesień; 10:00-16:00
57,Wiatrak w Lesznie,Technika/Architektura,Leszno,"51.8400, 16.5750",#koźlak #muzeum #tradycja,0.5-1h,Wiatrak z ekspozycją młynarską,Maj-wrzesień; 10:00-16:00
58,Wiatrak w Jerke,Technika/Architektura,Jerka,"52.0250, 16.6850",#koźlak #zabytek #zrekonstruowany,0.5-1h,Zabytkowy wiatrak na Szlaku Rydzyńskim,Maj-wrzesień; 10:00-16:00
59,Wiatrak w Święciechowie,Technika/Architektura,Święciechowa,"51.9310, 16.5280",#koźlak #młynarstwo #tradycja,0.5-1h,Wiatrak koźlak na Szlaku Wiatracznym,Maj-wrzesień; 10:00-16:00
60,Wiatrak w Racot,Technika/Architektura,Racot,"52.1120, 16.7350",#koźlak #zabytek #architektura,0.5-1h,Zabytkowy wiatrak wielkopolski,Maj-wrzesień; 10:00-16:00
61,Wiatrak w Wilkowicach,Technika/Architektura,Wilkowice,"51.9880, 16.4820",#koźlak #młynarstwo #tradycja,0.5-1h,Wiatrak na Szlaku Wiatracznym,Maj-wrzesień; 10:00-16:00
62,Wiatrak w Brońsku,Technika/Architektura,Brońsko,"52.0780, 16.6120",#koźlak #zabytek #architektura,0.5-1h,Wiatrak koźlak - element krajobrazu,Maj-wrzesień; 10:00-16:00
63,Wiatrak w Grabonogu,Technika/Architektura,Grabonogu,"51.8570, 17.0650",#koźlak #młynarstwo #tradycja,0.5-1h,Zabytkowy wiatrak wielkopolski,Maj-wrzesień; 10:00-16:00
64,Parowozownia Wolsztyn,Technika/Historia,Wolsztyn,"52.1150, 15.9150",#kolejnictwo #parowozy #unikatowe,2-3h,Jedyna czynna parowozownia w Europie,Cały rok; 9:00-17:00
65,Mosińska Kolej Drezynowa,Rozrywka/Historia,Mosina,"52.2450, 16.9450",#kolejka #rodzinne #aktywne,1.5-2h,Unikatowa kolejka ręczna drezynowa,Maj-wrzesień; 10:00-18:00
66,Wielkopolski Park Narodowy,Natura/Park,Jeziory,"52.2700, 16.8100",#park narodowy #szlaki #jeziora,Cały dzień,Park z jeziorami polodowcowymi i borami,Cały rok; dostęp 24/7
67,Muzeum Przyrodnicze WPN,Natura/Edukacja,Jeziory,"52.2700, 16.8100",#edukacyjne #przyroda #interaktywne,1.5-2h,Muzeum przyrodnicze w dworku,Wtorek-niedziela; 9:00-17:00
68,Jezioro Góreckie WPN,Natura/Rekreacja,Jeziory,"52.2700, 16.8100",#jezioro #szlaki #spacer,2-3h,Główne jezioro Wielkopolskiego PN,Cały rok; dostęp 24/7
69,Zamek na Wyspie Góreckie,Historia/Architektura,Jeziory,"52.2700, 16.8100",#romantyczne #ruiny #legenda,1-1.5h,Ruiny zamku Klaudyny Potockiej na wyspie,Cały rok; dostęp 24/7
70,Villa Arkadego Fiedlera,Historia/Muzeum,Puszczykowo,"52.2780, 16.8560",#pisarz #architektura #muzeum,1-1.5h,Dom-muzeum podróżnika i pisarza,Wtorek-niedziela; 10:00-17:00
71,Sierakowski Park Krajobrazowy,Natura/Park,Sieraków,"52.6390, 16.0820",#kraina jezior #szlaki #kajaki,Cały dzień,Kraina 100 Jezior - raj dla wodniaków,Cały rok; dostęp 24/7
72,Jezioro Jarosłowieckie,Natura/Rekreacja,Jarosłowiec,"52.6500, 16.1200",#jezioro #plaża #kąpiel,2-4h,Czyste jezioro z plażą i kąpieliskiem,Czerwiec-sierpień; dostęp 24/7
73,Jezioro Chrzypskie,Natura/Rekreacja,Chrzypsko,"52.5980, 16.0850",#jezioro #kajaki #wędkarstwo,2-4h,Jezioro w Krainie 100 Jezior,Cały rok; dostęp 24/7
74,Jezioro Śremskie,Natura/Rekreacja,Śrem,"52.0890, 17.0150",#jezioro #plaża #sport wodny,2-4h,Popularne jezioro z plażami i marinami,Czerwiec-sierpień; dostęp 24/7
75,Puszcza Notecka,Natura/Las,Obrzycko,"52.8470, 16.6650",#las #szlaki #przyroda,Cały dzień,Rozległy kompleks leśny z szlakami,Cały rok; dostęp 24/7
76,Drawieński Park Narodowy,Natura/Park,Drawno,"53.1500, 15.8000",#park narodowy #rzeki #kajaki,Cały dzień,Fragment parku w Wielkopolsce - rzeka Drawa,Cały rok; dostęp 24/7
77,Park Krajobrazowy Promno,Natura/Park,Promno,"51.5780, 17.5580",#park krajobrazowy #jeziora #szlaki,Cały dzień,Park z jeziorami i lasami,Cały rok; dostęp 24/7
78,Rezerwat Meteoryt Morasko,Natura/Geologia,Poznań Morasko,"52.4820, 16.9050",#meteoryty #geologia #unikatowe,1-2h,Rezerwat z kraterami meteorytowymi,Cały rok; dostęp 24/7
79,Polskie Malediwy Konin,Natura/Rekreacja,Konin Gosławice,"52.2120, 18.2850",#jeziora turkusowe #fotogeniczne #kąpiel,2-4h,Turkusowe jeziora pokopalnianie,Czerwiec-sierpień; dostęp 24/7
80,Rezerwat Buczyna Szprotawska,Natura/Las,Szprotawa,"51.5670, 15.5380",#las bukowy #przyroda #szlaki,1-2h,Rezerwat buków w Wielkopolsce,Cały rok; dostęp 24/7
81,Park w Dębnicy,Natura/Park,Dębnica,"52.5380, 16.3450",#park zabytkowy #dendrologia #spacer,1-2h,Zabytkowy park dendrologiczny,Cały rok; dostęp 24/7
82,Arboretum w Zielonce,Natura/Park,Zielonka,"52.5250, 17.1350",#arboretum #botaniczne #edukacyjne,1.5-2h,Arboretum z kolekcją drzew,Maj-wrzesień; 9:00-17:00
83,Park Etnograficzny Dziekanowice,Kultura/Natura,Dziekanowice,"52.5280, 17.3900",#skansen #tradycja #przyroda,2-3h,Skansen z chałupami i tradycją,Maj-wrzesień; 9:00-17:00
84,Rezerwat Dębina,Natura/Las,Mosina,"52.2380, 16.9120",#las dębowy #przyroda #szlaki,1-2h,Rezerwat dębów pomnikowych,Cały rok; dostęp 24/7
85,Park w Lednogórze,Natura/Park,Lednogóra,"52.5250, 17.3800",#park zabytkowy #historia #spacer,1-1.5h,Zabytkowy park przy muzeum,Cały rok; dostęp 24/7
86,Jezioro Wronczyńskie,Natura/Rekreacja,Wronczyn,"52.1180, 16.2350",#jezioro #żeglarstwo #plaża,2-4h,Czyste jezioro z marinami,Czerwiec-sierpień; dostęp 24/7
87,Jezioro Niepruszewskie,Natura/Rekreacja,Niepruszewo,"52.3550, 16.7780",#jezioro #kąpiel #rekreacja,2-3h,Jezioro z plażą i infrastrukturą,Czerwiec-sierpień; dostęp 24/7
88,Park w Antoninie,Natura/Park,Antonin,"51.6740, 17.8930",#park zabytkowy #architektura #spacer,1-2h,Park przy Pałacu Radziwiłłów,Cały rok; dostęp 24/7
89,Rezerwat Żurawiniec,Natura/Torfowisko,Mosina,"52.2200, 16.8500",#torfowisko #przyroda #rzadkie,1-1.5h,Rezerwat torfowiskowy z roślinnością,Cały rok; dostęp 24/7
90,Jezioro Powidzkie,Natura/Rekreacja,Powidz,"52.3850, 17.9050",#jezioro #żeglarstwo #plaża,2-4h,Duże jezioro z bazą żeglarską,Czerwiec-sierpień; dostęp 24/7
91,Termy Uniejów,Relaks/Aquapark,Uniejów,"51.9750, 18.7920",#termalne #spa #aquapark,2-4h,Kompleks termalny z wodą z 2km głębokości,Cały rok; 8:00-22:00
92,Zamek w Uniejowie,Historia/Relaks,Uniejów,"51.9750, 18.7920",#gotycki #hotel #termalne,1-2h,Zamek gotycki dziś hotel przy termach,Cały rok; 9:00-18:00
93,Browar Lech Poznań,Kultura/Gastronomia,Poznań,"52.4000, 16.9200",#piwo #tradycja #zwiedzanie,1.5-2h,Muzeum browaru z degustacją,Poniedziałek-sobota; 10:00-18:00
94,Kopalnia Soli Kłodawa,Nauka/Przygoda,Kłodawa,"52.2520, 18.9180",#podziemna #sól różowa #unikatowe,2-3h,Kopalnia z różową solą i trasą turystyczną,Cały rok; 9:00-17:00
95,Aquapark Termy Maltańskie,Rozrywka/Relaks,Poznań,"52.4050, 16.9750",#aquapark #zjeżdżalnie #rodzinne,2-4h,Nowoczesny aquapark z basenami termalnymi,Cały rok; 8:00-22:00
96,Winnica Mała Toskania,Kultura/Gastronomia,Kalisz,"51.7500, 18.0800",#wino #degustacja #winnica,2-3h,Winnica z degustacjami win,Maj-wrzesień; 10:00-18:00
97,Pijalnia Wód Polanica,Relaks/Zdrowie,Polanica-Zdrój,"50.4180, 16.5080",#uzdrowisko #wody mineralne #spa,1-2h,Pijalnia wód mineralnych,Cały rok; 8:00-18:00
98,Termy Mszczonów,Relaks/Aquapark,Mszczonów,"51.9750, 20.5180",#termalne #basen #spa,2-4h,Baseny termalne z aquaparkiem,Cały rok; 8:00-22:00
99,Gorzelnia Żelazno,Kultura/Gastronomia,Żelazno,"52.3280, 17.5680",#spirytus #tradycja #degustacja,1.5-2h,Muzealna gorzelnia z degustacją,Wtorek-sobota; 10:00-17:00
100,Centrum SPA Polanica,Relaks/Zdrowie,Polanica-Zdrój,"50.4180, 16.5080",#spa #masaże #zabiegi,2-4h,Kompleks SPA z zabiegami,Cały rok; 8:00-20:00
101,Rynek Jarocin,Historia/Kultura,Jarocin,"51.9720, 17.5020",#festiwal #rynek #muzyka,1-2h,Rynek z ratuszem i historią festiwalu,Cały rok; dostęp 24/7
102,Muzeum Festiwalu Jarocin,Kultura/Muzyka,Jarocin,"51.9720, 17.5020",#rock #festiwal #historia,1-1.5h,Muzeum legendarnego festiwalu rockowego,Wtorek-niedziela; 10:00-17:00
103,Stare Miasto Kalisz,Historia/Architektura,Kalisz,"51.7569, 18.0885",#najstarsze miasto #architektura #rynek,2-3h,Najstarsze miasto Polski z rynkiem,Cały rok; dostęp 24/7
104,Rynek Leszno,Historia/Architektura,Leszno,"51.8400, 16.5750",#architektura #historia #ratusz,1-2h,Historyczny rynek z ratuszem,Cały rok; dostęp 24/7
105,Muzeum Okręgowe Leszno,Historia/Sztuka,Leszno,"51.8400, 16.5750",#regionalne #sztuka #kultura,1.5-2h,Muzeum z kolekcją regionalną,Wtorek-niedziela; 10:00-17:00
106,Stare Miasto Konin,Historia/Architektura,Konin,"52.2230, 18.2520",#rynek #architektura #historia,1-2h,Historyczne centrum z rynkiem,Cały rok; dostęp 24/7
107,Wieża Gostyńska Konin,Historia/Widok,Konin,"52.2230, 18.2520",#wieża widokowa #panorama #zabytek,0.5-1h,Gotycka wieża z tarasem widokowym,Maj-wrzesień; 10:00-17:00
108,Rynek Piła,Architektura/Kultura,Piła,"53.1510, 16.7380",#architektura #handel #kultura,1-2h,Rynek z ratuszem i kamienicami,Cały rok; dostęp 24/7
109,Stare Miasto Wągrowiec,Historia/Architektura,Wągrowiec,"52.8070, 17.1990",#rynek #ratusz #historia,1-2h,Historyczne centrum nad rzekami,Cały rok; dostęp 24/7
110,Klasztor Cysterski Wągrowiec,Historia/Religia,Wągrowiec,"52.8070, 17.1990",#sakralny #cystersi #architektura,1-1.5h,Zabytkowy klasztor cystersów,Codziennie; 8:00-18:00
111,Opactwo Benedyktynów Lubiń,Historia/Religia,Lubiń,"51.9180, 17.7280",#sakralny #benedyktyni #architektura,1-1.5h,Zabytkowe opactwo benedyktynów,Codziennie; 8:00-18:00
112,Rynek Gostyń,Historia/Architektura,Gostyń,"51.8820, 17.0110",#rynek #architektura #historia,1-2h,Rynek z ratuszem i kamienicami,Cały rok; dostęp 24/7
113,Sanktuarium Gostyń,Religia/Historia,Gostyń,"51.8820, 17.0110",#sakralny #pielgrzymki #barokowe,1-1.5h,Sanktuarium Matki Boskiej Bolesnej,Codziennie; 6:00-20:00
114,Stare Miasto Ostrów Wielkopolski,Historia/Architektura,Ostrów Wielkopolski,"51.6520, 17.8100",#rynek #architektura #kultura,1-2h,Historyczne centrum z rynkiem,Cały rok; dostęp 24/7
115,Muzeum Miasta Ostrowa,Historia/Kultura,Ostrów Wielkopolski,"51.6520, 17.8100",#regionalne #sztuka #historia,1-1.5h,Muzeum z kolekcją lokalną,Wtorek-niedziela; 10:00-17:00
116,Rynek Pleszew,Historia/Architektura,Pleszew,"51.8980, 17.7850",#rynek #architektura #historia,1-2h,Rynek z ratuszem i kamienicami,Cały rok; dostęp 24/7
117,Stare Miasto Śrem,Historia/Architektura,Śrem,"52.0890, 17.0150",#rynek #architektura #historia,1-2h,Historyczne centrum nad Wartą,Cały rok; dostęp 24/7
118,Muzeum Śrem,Historia/Kultura,Śrem,"52.0890, 17.0150",#regionalne #archeologia #sztuka,1-1.5h,Muzeum z kolekcją archeologiczną,Wtorek-niedziela; 10:00-17:00
119,Rynek Krotoszyn,Historia/Architektura,Krotoszyn,"51.6980, 17.4380",#rynek #ratusz #architektura,1-2h,Rynek z neorenesansowym ratuszem,Cały rok; dostęp 24/7
120,Stare Miasto Rawicz,Historia/Architektura,Rawicz,"51.6090, 16.8580",#rynek #architektura #kultura,1-2h,Historyczne centrum z rynkiem,Cały rok; dostęp 24/7
121,Muzeum Rawicz,Historia/Kultura,Rawicz,"51.6090, 16.8580",#regionalne #sztuka #historia,1-1.5h,Muzeum z kolekcją lokalną,Wtorek-niedziela; 10:00-17:00
122,Rynek Wolsztyn,Historia/Architektura,Wolsztyn,"52.1150, 15.9150",#rynek #architektura #kultura,1-2h,Rynek z ratuszem przy parowozowni,Cały rok; dostęp 24/7
123,Stare Miasto Gniezno,Historia/Architektura,Gniezno,"52.5349, 17.5927",#pierwsza stolica #architektura #rynek,2-3h,Pierwsza stolica Polski z rynkiem,Cały rok; dostęp 24/7
124,Muzeum Początków Państwa,Historia/Archeologia,Gniezno,"52.5349, 17.5927",#archeologia #piastowie #edukacyjne,1.5-2h,Muzeum o początkach Polski,Wtorek-niedziela; 9:00-17:00
125,Rynek Czarnków,Historia/Architektura,Czarnków,"52.9020, 16.5640",#rynek #architektura #historia,1-2h,Rynek z neogotyckim ratuszem,Cały rok; dostęp 24/7
126,Park Dzieje Murowana Goślina,Rozrywka/Edukacja,Murowana Goślina,"52.5450, 17.0050",#miniaturki #edukacyjne #rodzinne,2-3h,Park miniatur zabytków Wielkopolski,Maj-wrzesień; 10:00-18:00
127,Skansen Miniatur Pobiedziska,Kultura/Rozrywka,Pobiedziska,"52.4820, 17.2690",#miniaturki #architektura #edukacyjne,1.5-2h,Park miniatur zabytków polskich,Maj-wrzesień; 10:00-17:00
128,Muzeum Ziemi Lubuskiej,Historia/Kultura,Zielona Góra,"51.9350, 15.5060",#regionalne #wino #kultura,1.5-2h,Muzeum regionalne z winiarską tradycją,Wtorek-niedziela; 10:00-17:00
129,Rynek Grodzisk Wielkopolski,Historia/Architektura,Grodzisk Wielkopolski,"52.2050, 16.5080",#rynek #architektura #kultura,1-2h,Rynek z ratuszem i kamienicami,Cały rok; dostęp 24/7
130,Muzeum Motoryzacji Poznań,Technika/Historia,Poznań,"52.4000, 16.9100",#samochody #klasyki #technika,1.5-2h,Muzeum z kolekcją zabytkowych aut,Wtorek-niedziela; 10:00-17:00
131,Rezerwat Warta,Natura/Rzeka,Śrem,"52.0890, 17.0150",#rzeka #ptaki #przyroda,1-2h,Rezerwat nad Wartą z ptactwem,Cały rok; dostęp 24/7
132,Jezioro Gopło,Natura/Rekreacja,Kruszwica,"52.6680, 18.3330",#jezioro #żeglarstwo #legenda,2-4h,Jezioro z legendą o Popielu,Czerwiec-sierpień; dostęp 24/7
133,Mysia Wieża Kruszwica,Historia/Legenda,Kruszwica,"52.6680, 18.3330",#legenda #wieża #widok,0.5-1h,Wieża z legendą o królu Popielu,Maj-wrzesień; 10:00-17:00
134,Klasztor Cysterski Ląd,Historia/Religia,Ląd,"52.3450, 18.0950",#sakralny #cystersi #barokowe,1.5-2h,Pocysterski zespół klasztorny - perła baroku,Codziennie; 8:00-18:00
135,Muzeum Rolnictwa Szreniawa,Kultura/Technika,Szreniawa,"52.2800, 16.7900",#rolnictwo #tradycja #interaktywne,2-3h,Muzeum z kolekcją maszyn rolniczych,Maj-wrzesień; 10:00-17:00
