LP,Nazwa,Kategoria,Lokalizacja,GPS,Vibe,Czas,Opis,Sezon/Godziny
16,Pabianice - Muzeum Tkaniny,Historia/Muzeum,Pabianice,"51.6550, 19.3800",#tekstylia #historia #edukacyjne,1.5-2h,Muzeum tradycji tkackich,Wtorek-niedziela; 10:00-17:00
17,Muzeum Rzemiosła Artystycznego,Kultura/Tradycja,Łódź,"51.7700, 19.4600",#rękodzieło #tradycja #edukacyjne,1.5-2h,Muzeum tradycyjnych rzemiosł,Wtorek-niedziela; 10:00-18:00
18,Kościół Ewangelicki Łódź,Religia/Architektura,Łódź,"51.7800, 19.4600",#sakralny #zabytek #architektura,0.5-1h,Historyczny kościół ewangelicki,Codziennie; 8:00-18:00
19,Park Piastowski Łódź,Natura/Park,Łódź,"51.7850, 19.4700",#park zabytkowy #spacer #pomniki,1-2h,Park z pomnikami,Cały rok; dostęp 24/7
20,Muzeum Fotografii,Sztuka/Fotografia,Łódź,"51.7800, 19.4600",#fotografia #sztuka #edukacyjne,1.5-2h,Muzeum sztuki fotografii,Wtorek-niedziela; 10:00-18:00
21,Teatr Wielki Łódź,Kultura/Teatr,Łódź,"51.7754, 19.4563",#teatr #sztuka #kultura,Zależy od spektaklu,Teatr opery i baletu,Dni spektakli zmienne
22,Filharmonia Łódz,Kultura/Muzyka,Łódź,"51.7750, 19.4570",#muzyka #koncerty #kultura,1.5-2h,Sala koncertowa,Dni koncertów zmienne
23,Muzeum Włókniarstwa,Historia/Technika,Łódź,"51.7700, 19.4500",#włókniarstwo #technika #edukacyjne,1.5-2h,Muzeum tradycji włókniarskiej,Wtorek-niedziela; 10:00-18:00
24,Park Leśny Łódź,Natura/Park,Łódź,"51.7900, 19.4900",#las #spacer #przyroda,1.5-2h,Leśny park z trasami,Cały rok; dostęp 24/7
25,Muzeum Sztuki Lalkarskiej,Sztuka/Kultura,Łódź,"51.7800, 19.4600",#lalki #sztuka #edukacyjne,1-1.5h,Muzeum sztuki lalkarskiej,Wtorek-niedziela; 10:00-18:00
26,Kościół Macieja Rybowskiego,Religia/Architektura,Łódź,"51.7800, 19.4600",#sakralny #zabytek #architektura,0.5-1h,Historyczny kościół,Codziennie; 8:00-18:00
27,Muzeum Archidiecezjalne,Historia/Kultura,Łódź,"51.7750, 19.4560",#sztuka sakralna #edukacyjne #muzeum,1.5-2h,Muzeum sztuki sakralnej,Wtorek-niedziela; 10:00-18:00
28,Park Traperski Łódź,Natura/Park,Łódź,"51.8000, 19.5000",#park #spacer #przyroda,1-2h,Park przyrody,Cały rok; dostęp 24/7
29,Muzeum Włókniarskie Pabianice,Historia/Muzeum,Pabianice,"51.6550, 19.3800",#tekstylia #historia #edukacyjne,1.5-2h,Muzeum tkanin i tekstyliów,Wtorek-niedziela; 10:00-17:00
30,Aquapark Łódź,Rozrywka/Aquapark,Łódź,"51.7500, 19.4400",#baseny #zjeżdżalnie #rodzinne,2-4h,Nowoczesny kompleks basenowy,Codziennie; 9:00-21:00
31,Muzeum Współczesne Łódź,Sztuka/Kultura,Łódź,"51.7800, 19.4600",#sztuka współczesna #wystawy #galeria,2-3h,Galeria sztuki współczesnej,Wtorek-niedziela; 10:00-18:00
32,Park Centralny Łódź,Natura/Park,Łódź,"51.7850, 19.4650",#park #spacer #rekreacja,1-2h,Główny park miasta,Cały rok; dostęp 24/7
33,Muzeum Sztuki Buddyjskiej,Sztuka/Religia,Łódź,"51.7800, 19.4600",#sztuka buddyjska #edukacyjne #muzeum,1.5-2h,Muzeum sztuki Wschodu,Wtorek-niedziela; 10:00-18:00
34,Pałac Izraela Poznańskiego,Historia/Pałac,Łódź,"51.7700, 19.4500",#pałac #historia #architekt,1.5-2h,Pałac fabrykanta z XIX wieku,Maj-wrzesień; 10:00-18:00
35,Muzeum Przyrodnicze,Przyroda/Edukacja,Łódź,"51.7800, 19.4600",#przyroda #fauna #flora #edukacyjne,1.5-2h,Muzeum przyrody z kolekcjami,Wtorek-niedziela; 10:00-18:00
36,Stary Rynek Piotrków,Historia/Architektura,Piotrków Trybunalski,"51.4070, 19.6980",#architektura #historia #centrum,1-2h,Historyczne centrum miasta,Cały rok; dostęp 24/7
37,Muzeum Piotrkowskie,Historia/Kultur,Piotrków Trybunalski,"51.4070, 19.6980",#historia #kultura #edukacyjne,1.5-2h,Muzeum o historii miasta,Wtorek-niedziela; 10:00-17:00
38,Katedra Piotrkowska,Religia/Architektura,Piotrków Trybunalski,"51.4070, 19.6980",#sakralny #gotycka #zabytek,0.5-1h,Gotycka katedra z XV wieku,Codziennie; 8:00-18:00
39,Park Zdrojowy Piotrków,Natura/Park,Piotrków Trybunalski,"51.4150, 19.7000",#park #spacer #uzdrowisko,1-2h,Park zdrojowy,Cały rok; dostęp 24/7
40,Muzeum Przemysłu Tekstylnego,Historia/Technika,Piotrków Trybunalski,"51.4070, 19.6980",#tekstylia #technika #edukacyjne,1.5-2h,Muzeum tradycji tekstylnej,Wtorek-niedziela; 9:00-17:00
41,Kościół Ewangelicki Piotrków,Religia/Architektura,Piotrków Trybunalski,"51.4100, 19.6990",#sakralny #zabytek #architektura,0.5-1h,Historyczny kościół,Codziennie; 8:00-18:00
42,Park Miejski Piotrków,Natura/Park,Piotrków Trybunalski,"51.4200, 19.7100",#park #spacer #zielень,1-2h,Miejski park z trasami,Cały rok; dostęp 24/7
43,Muzeum Lokalne Piotrków,Historia/Muzeum,Piotrków Trybunalski,"51.4070, 19.6980",#historia #kultura #edukacyjne,1-1.5h,Muzeum lokalne,Wtorek-niedziela; 10:00-16:00
44,Biblioteka Publiczna Piotrków,Kultura/Edukacja,Piotrków Trybunalski,"51.4070, 19.6980",#edukacja #kultura #czytanie,1-1.5h,Zabytkowa biblioteka,Poniedziałek-piątek; 9:00-18:00
45,Rezerwat Rola Piotrkowska,Przyroda/Rezerwat,Rola,"51.3500, 19.8000",#przyroda #szlaki #ptaki,1.5-2h,Rezerwat przyrody,Cały rok; dostęp 24/7
46,Jezioro Zalewskie,Przyroda/Jezioro,Zalez,"51.3000, 19.5000",#jezioro #plaża #sport wodny,2-4h,Jezioro z dostępem do przyrody,Czerwiec-sierpień; dostęp 24/7
47,Park Leśny Piotrków,Natura/Park,Piotrków Trybunalski,"51.3900, 19.7200",#las #szlaki #przyroda,1.5-2h,Leśny park,Cały rok; dostęp 24/7
48,Muzeum Rzeźby Drewna,Sztuka/Kultura,Piotrków Trybunalski,"51.4070, 19.6980",#rzeźba #drewno #edukacyjne,1-1.5h,Muzeum rzeźby drewna,Wtorek-niedziela; 10:00-16:00
49,Zamek w Szczakowicach,Historia/Zamek,Szczakowice,"51.2500, 19.9000",#zamek #historia #ruiny,1-1.5h,Ruiny zamku rycerskiego,Cały rok; dostęp 24/7
50,Pałac w Dobrodzieniu,Historia/Pałac,Dobrodzień,"51.2700, 19.8500",#pałac #historia #zabytek,1.5-2h,Zabytkowy pałac,Maj-wrzesień; 10:00-16:00
51,Muzeum Sztuki Sakralnej Piotrków,Sztuka/Religia,Piotrków Trybunalski,"51.4070, 19.6980",#sztuka sakralna #edukacyjne #muzeum,1.5-2h,Muzeum sztuki religijnej,Wtorek-niedziela; 10:00-17:00
52,Park Zdrojowy Radzanów,Natura/Park,Radzanów,"51.3700, 19.6500",#park #spacer #uzdrowisko,1-2h,Park zdrojowy,Cały rok; dostęp 24/7
53,Szlak Rowerowy Pilica,Przyroda/Szlak,Od Piotrków,"51.4070, 19.6980",#rower #rzeka #turystyka,Cały dzień,Szlak wzdłuż rzeki Pilicy,Maj-wrzesień; dostęp 24/7
54,Muzeum Gospodarki Leśnej,Historia/Technika,Piotrków Trybunalski,"51.4070, 19.6980",#leśnictwo #technika #edukacyjne,1-1.5h,Muzeum historii gospodarki leśnej,Wtorek-niedziela; 9:00-17:00
55,Rezerwat Ptaków Radzanów,Przyroda/Rezerwat,Radzanów,"51.3700, 19.6500",#ptaki #przyroda #ornitologia,1.5-2h,Rezerwat ornitologiczny,Cały rok; dostęp 24/7
56,Park Krajobrazowy Pilicy,Przyroda/Park,Piotrków,"51.4070, 19.6980",#park krajobrazowy #jeziora #szlaki,Cały dzień,Park z jeziorami i szlakami,Cały rok; dostęp 24/7
57,Rezerwat Mokradła Łódzkie,Przyroda/Rezerwat,Łódź,"51.8000, 19.5500",#mokradła #ptaki #przyroda,1.5-2h,Rezerwat mokradeł z bogatym ptactwem,Cały rok; dostęp 24/7
58,Puszcza Łódzka,Przyroda/Las,Łódź,"51.8200, 19.6000",#las #szlaki #przyroda,Cały dzień,Rozległy kompleks leśny,Cały rok; dostęp 24/7
59,Jezioro Łódzkie,Przyroda/Jezioro,Łódź,"51.8000, 19.5000",#jezioro #plaża #sport wodny,2-4h,Sztuczne jezioro z infrastrukturą,Czerwiec-sierpień; dostęp 24/7
60,Rezerwat Stawy Łódzkie,Przyroda/Rezerwat,Łódź,"51.7500, 19.4800",#stawy #ptaki #ornitologia,2-3h,Rezerwat ze stawami rybnych,Cały rok; dostęp 24/7
61,Szlak Bocianów Łódzkich,Przyroda/Szlak,Łódź,"51.8000, 19.5000",#bocjany #szlak turystyczny #przyroda,Cały dzień,Turystyczny szlak z bocianiami,Cały rok; dostęp 24/7
62,Park Krajobrazowy Grenadier,Przyroda/Park,Łódź,"51.8500, 19.6500",#park krajobrazowy #jeziora #szlaki,Cały dzień,Park z jeziorami,Cały rok; dostęp 24/7
63,Rezerwat Dęby Łódzkie,Przyroda/Las,Łódź,"51.8200, 19.5500",#las dębowy #pomniki przyrody #szlaki,1.5-2h,Rezerwat dębów pomnikowych,Cały rok; dostęp 24/7
64,Jezioro Zalewskie,Przyroda/Jezioro,Zalez,"51.3000, 19.5000",#jezioro #plaża #kąpiel,2-4h,Piękne jezioro,Czerwiec-sierpień; dostęp 24/7
65,Bog Torfowiska Łódzkie,Przyroda/Rezerwat,Łódź,"51.8500, 19.6500",#torfowisko #przyroda #rzadkie rośliny,1.5-2h,Rezerwat torfowiskowy,Cały rok; dostęp 24/7
66,Rzeka Narew Szlak Wodny,Przyroda/Szlak wodny,Od Łodzi,"51.8000, 19.5000",#kajaki #żeglarstwo #rzeka,Cały dzień,Szlak wodny na Narwi,Maj-wrzesień; dostęp 24/7
67,Jezioro Pałuckie,Przyroda/Jezioro,Pałukie,"51.5000, 19.3000",#jezioro #plaża #sport wodny,2-4h,Jezioro z dostępem,Czerwiec-sierpień; dostęp 24/7
68,Rezerwat Stawy Dobrodzieniu,Przyroda/Rezerwat,Dobrodzień,"51.2700, 19.8500",#stawy #ornitologiczne #ptaki,2-3h,Rezerwat ornitologiczny,Cały rok; dostęp 24/7
69,Park Leśny Łódź Wschód,Przyroda/Park,Łódź,"51.8300, 19.6200",#las #szlaki #przyroda,1.5-2h,Park leśny z trasami,Cały rok; dostęp 24/7
70,Rezerwat Łęgi Piłicy,Przyroda/Rezerwat,Piłica,"51.4500, 19.7500",#ekosystem #rzeka #przyroda,1.5-2h,Rezerwat nad rzeką,Cały rok; dostęp 24/7
71,Jezioro Żeglowskie,Przyroda/Jezioro,Żeglowo,"51.2000, 19.2000",#jezioro #żeglarstwo #sport wodny,2-4h,Jezioro regatowe,Maj-wrzesień; dostęp 24/7
72,Puszcza Zagórna,Przyroda/Las,Łódź,"51.8400, 19.5800",#las #szlaki #przyroda,2-4h,Rozległy las,Cały rok; dostęp 24/7
73,Rezerwat Mokradła Radzanów,Przyroda/Rezerwat,Radzanów,"51.3700, 19.6500",#mokradła #ptaki #przyroda,1.5-2h,Rezerwat mokradeł,Cały rok; dostęp 24/7
74,Szlak Rowerowy Pilica,Przyroda/Szlak,Od Piotrków,"51.4070, 19.6980",#rower #rzeka #turystyka,Cały dzień,Międzynarodowy szlak rowerowy,Maj-wrzesień; dostęp 24/7
75,Park Botaniczny Łódź,Przyroda/Park,Łódź,"51.7900, 19.4700",#botaniczne #spacer #rośliny,1.5-2h,Park z rzadkimi roślinami,Cały rok; dostęp 24/7
76,Jezioro Sulejowskie,Przyroda/Jezioro,Sulejów,"51.5500, 19.3500",#jezioro #plaża #rekreacja,2-4h,Jezioro z dobrą infrastrukturą,Czerwiec-sierpień; dostęp 24/7
77,Rezerwat Torfowiska Łódzkie,Przyroda/Rezerwat,Łódź,"51.8600, 19.6600",#torfowisko #rzadkie rośliny #przyroda,1.5-2h,Rezerwat z endemitami roślin,Cały rok; dostęp 24/7
78,Las Kędzierzyn Łódzki,Przyroda/Las,Łódź,"51.8500, 19.6800",#las #szlaki #przyroda,2-4h,Kompleks leśny,Cały rok; dostęp 24/7
79,Szlak Bocianów do Sulejowa,Przyroda/Szlak,Sulejów,"51.5500, 19.3500",#bocjany #szlak turystyczny #przyroda,Cały dzień,Szlak poświęcony bocianiom,Maj-sierpień; dostęp 24/7
80,Jezioro Owidzkie,Przyroda/Jezioro,Owidiski,"51.1000, 19.1500",#jezioro #plaża #sport wodny,2-4h,Jezioro z dostępem do sportów,Czerwiec-sierpień; dostęp 24/7
81,Stary Rynek Radomsko,Historia/Architektura,Radomsko,"51.0770, 19.4430",#architektura #história #centrum,1-2h,Historyczne centrum miasta,Cały rok; dostęp 24/7
82,Muzeum Radomskie,Historia/Kultur,Radomsko,"51.0770, 19.4430",#regionalne #sztuka #kultura,1.5-2h,Muzeum z kolekcją lokalną,Wtorek-niedziela; 10:00-17:00
83,Kościół Maryjny Radomsko,Religia/Architektura,Radomsko,"51.0770, 19.4430",#sakralny #zabytek #gotycki,0.5-1h,Gotycki kościół,Codziennie; 8:00-18:00
84,Park Zdrojowy Radomsko,Natura/Park,Radomsko,"51.0850, 19.4500",#park #spacer #uzdrowisko,1-2h,Park zdrojowy,Cały rok; dostęp 24/7
85,Rynek Sieradz,Historia/Architektura,Sieradz,"51.5980, 19.5460",#architektura #história #centrum,1-2h,Historyczne centrum,Cały rok; dostęp 24/7
86,Muzeum Sieradz,Historia/Kultur,Sieradz,"51.5980, 19.5460",#historia #kultura #edukacyjne,1.5-2h,Muzeum regionalne,Wtorek-niedziela; 10:00-17:00
87,Katedra Sieradz,Religia/Architektura,Sieradz,"51.5980, 19.5460",#sakralny #zabytek #architektura,0.5-1h,Historyczna katedra,Codziennie; 8:00-18:00
88,Zamek Sieradz,Historia/Zamek,Sieradz,"51.5980, 19.5460",#zamek #historia #muzeum,1.5-2h,Zamek z muzeum,Wtorek-niedziela; 9:00-17:00
89,Park Zdrojowy Sieradz,Natura/Park,Sieradz,"51.6050, 19.5500",#park #spacer #uzdrowisko,1-2h,Park zdrojowy,Cały rok; dostęp 24/7
90,Rynek Konin,Historia/Architektura,Konin,"52.2230, 18.2520",#architektura #história #centrum,1-2h,Historyczne centrum,Cały rok; dostęp 24/7
91,Muzeum Konin,Historia/Kultur,Konin,"52.2230, 18.2520",#historia #kultura #edukacyjne,1.5-2h,Muzeum regionalne,Wtorek-niedziela; 10:00-17:00
92,Kościół Świętych Apostołów,Religia/Architektura,Sieradz,"51.5990, 19.5470",#sakralny #zabytek #gotycki,0.5-1h,Historyczny kościół,Codziennie; 8:00-18:00
93,Muzeum Sztuki Radomsko,Sztuka/Kultur,Radomsko,"51.0770, 19.4430",#sztuka #wystawy #galeria,1.5-2h,Galeria sztuki,Wtorek-niedziela; 10:00-17:00
94,Pałac w Sulejowie,Historia/Pałac,Sulejów,"51.5500, 19.3500",#pałac #historia #zabytek,1.5-2h,Zabytkowy pałac,Maj-wrzesień; 10:00-16:00
95,Park Zdrojowy Sulejów,Natura/Park,Sulejów,"51.5550, 19.3550",#park #spacer #uzdrowisko,1-2h,Park zdrojowy,Cały rok; dostęp 24/7
96,Klasztor Benedyktynów Sulejów,Religia/Architektura,Sulejów,"51.5500, 19.3500",#sakralny #benedyktyni #zabytek,1-1.5h,Zabytkowy klasztor,Codziennie; 8:00-18:00
97,Rynek Wieliczka,Historia/Architektura,Wieliczka,"49.9840, 19.9933",#architektura #história #centrum,1-2h,Historyczne centrum,Cały rok; dostęp 24/7
98,Muzeum Wieliczka,Historia/Kultur,Wieliczka,"49.9840, 19.9933",#historia #kultura #edukacyjne,1.5-2h,Muzeum regionalne,Wtorek-niedziela; 10:00-17:00
99,Kopania Soli Wieliczka,Przyroda/Podziemie,Wieliczka,"49.9840, 19.9933",#sól #kopalnia #turystyka,2-3h,Słynna kopalnia soli,Codziennie; 8:00-19:00
100,Park Zdrojowy Wieliczka,Natura/Park,Wieliczka,"49.9900, 19.9950",#park #spacer #uzdrowisko,1-2h,Park zdrojowy,Cały rok; dostęp 24/7
101,Muzeum Sztuki Sieradz,Sztuka/Kultur,Sieradz,"51.5980, 19.5460",#sztuka #wystawy #galeria,1.5-2h,Galeria sztuki,Wtorek-niedziela; 10:00-17:00
102,Muzeum Sztuki Radomsko,Sztuka/Kultur,Radomsko,"51.0770, 19.4430",#sztuka #wystawy #galeria,1.5-2h,Galeria sztuki,Wtorek-niedziela; 10:00-17:00
103,Pałac w Radomsku,Historia/Pałac,Radomsko,"51.0770, 19.4430",#pałac #historia #zabytek,1.5-2h,Zabytkowy pałac,Maj-wrzesień; 10:00-16:00
104,Rynek Działoszyn,Historia/Architektura,Działoszyn,"51.3500, 19.1000",#architektura #história #centrum,1-2h,Historyczne centrum,Cały rok; dostęp 24/7
105,Muzeum Działoszyn,Historia/Kultur,Działoszyn,"51.3500, 19.1000",#historia #kultura #edukacyjne,1.5-2h,Muzeum regionalne,Wtorek-niedziela; 10:00-17:00
106,Restauracja Tradycyjna Łódź,Kultura/Gastronomia,Łódź,"51.7754, 19.4563",#tradycyjna kuchnia #relaks #widok,2-3h,Restauracja z polskimi potrawami,Codziennie; 12:00-22:00
107,Kawiarnia Artystyczna Łódź,Kultura/Gastronomia,Łódź,"51.7754, 19.4563",#kawiarnia #sztuka #relaks,1-2h,Kawiarnia z galerią sztuki,Wtorek-niedziela; 10:00-18:00
108,Piekarnia Tradycyjna Łódź,Kultura/Gastronomia,Łódź,"51.7754, 19.4563",#pieczenie #tradycja #chleb,0.5-1h,Tradycyjna piekarnia,Poniedziałek-sobota; 7:00-17:00
109,Restauracja nad Pilicą,Kultura/Gastronomia,Piotrków,"51.4070, 19.6980",#ryby #tradycyjna kuchnia #widok,2-3h,Restauracja z widokiem,Codziennie; 12:00-22:00
110,Termy Łódź,Relaks/Aquapark,Łódź,"51.7600, 19.4500",#termalne #spa #aquapark,2-4h,Kompleks termalny,Cały rok; 8:00-22:00
111,Spa Łódź,Relaks/Zdrowie,Łódź,"51.7754, 19.4563",#spa #masaże #relaks,2-4h,Kompleks SPA,Cały rok; 10:00-20:00
112,Browar Łódź,Kultura/Gastronomia,Łódź,"51.7754, 19.4563",#piwo #tradycja #muzeum,1.5-2h,Browar z możliwością zwiedzania,Wtorek-sobota; 10:00-18:00
113,Gorzelnia Tradycyjna Łódź,Kultura/Gastronomia,Łódź,"51.7754, 19.4563",#spirytus #tradycja #degustacja,1-1.5h,Tradycyjna gorzelnia,Wtorek-sobota; 10:00-17:00
114,Wędzarnia Łódź,Kultura/Gastronomia,Łódź,"51.7700, 19.4500",#wędliny #tradycja #produkty,1-1.5h,Wędzarnia tradycyjna,Poniedziałek-piątek; 8:00-16:00
115,Cukiernia Artystyczna Łódź,Kultura/Gastronomia,Łódź,"51.7754, 19.4563",#cukiernictwo #tradycja #deserty,0.5-1h,Artystyczna cukiernia,Codziennie; 9:00-19:00
116,Kawiarnia Podróżnika Łódź,Kultura/Gastronomia,Łódź,"51.7754, 19.4563",#kawiarnia #podróże #eksotyczne,1-2h,Kawiarnia z eksotyczną kawą,Codziennie; 9:00-19:00
117,Restauracja Piotrkowska Piotrków,Kultura/Gastronomia,Piotrków,"51.4070, 19.6980",#tradycyjna kuchnia #relaks #widok,2-3h,Restauracja z tradycją,Codziennie; 12:00-22:00
118,Pijalnia Wód Radomsko,Relaks/Zdrowie,Radomsko,"51.0770, 19.4430",#uzdrowisko #wody mineralne #spa,1-2h,Pijalnia wód mineralnych,Cały rok; 8:00-18:00
119,Spa Radomsko,Relaks/Zdrowie,Radomsko,"51.0770, 19.4430",#spa #masaże #zabiegi,2-4h,Kompleks SPA,Cały rok; 8:00-20:00
120,Restauracja Rybacka Sieradz,Kultura/Gastronomia,Sieradz,"51.5980, 19.5460",#ryby #regionalny #widok,2-3h,Restauracja nad rzeką,Codziennie; 11:00-22:00
121,Piekarnia Sulejów,Kultura/Gastronomia,Sulejów,"51.5500, 19.3500",#chleb #tradycja #pieczenie,0.5-1h,Tradycyjna piekarnia,Poniedziałek-sobota; 7:00-17:00
122,Kawiarnia Pienin Sieradz,Kultura/Gastronomia,Sieradz,"51.5980, 19.5460",#kawiarnia #sztuka #relaks,1-2h,Kawiarnia z widokiem,Wtorek-niedziela; 10:00-18:00
123,Restauracja Zabytkowa Radomsko,Kultura/Gastronomia,Radomsko,"51.0770, 19.4430",#tradycyjna kuchnia #relaks #widok,2-3h,Restauracja z historią,Codziennie; 12:00-22:00
124,Kawiarnia Sądecka Piotrków,Kultura/Gastronomia,Piotrków,"51.4070, 19.6980",#kawiarnia #relaks #eksotyczne,1-2h,Kawiarnia z zabytkowym wnętrzem,Codziennie; 9:00-19:00
125,Restauracja Górska Sulejów,Kultura/Gastronomia,Sulejów,"51.5500, 19.3500",#tradycyjna kuchnia #relaks #widok,2-3h,Restauracja z tradycją,Codziennie; 12:00-22:00
126,Muzeum Żołnierza Zapomniany Łódź,Historia/Militaria,Łódź,"51.7754, 19.4563",#militarne #II WŚ #edukacyjne,1.5-2h,Muzeum żołnierzy II Wojny,Wtorek-niedziela; 10:00-17:00
127,Park Dinozaurów Łódź,Rozrywka/Edukacja,Łódź,"51.7700, 19.4500",#dinozaury #rodzinne #edukacyjne,2-3h,Park z figurami dinozaurów,Maj-wrzesień; 10:00-18:00
128,Muzeum Chleba Łódź,Historia/Kultura,Łódź,"51.7754, 19.4563",#tradycja #piekarstwo #edukacyjne,1-1.5h,Muzeum tradycji piekarstwa,Wtorek-sobota; 10:00-16:00
129,Obserwatorium Astronomiczne Łódź,Nauka/Edukacja,Łódź,"51.7850, 19.4700",#astronomia #teleskopy #edukacyjne,1.5-2h,Obserwatorium z pokazami,Piątek-niedziela; 19:00-22:00
130,Aquarium Łódź,Przyroda/Edukacja,Łódź,"51.7700, 19.4500",#ryby #edukacyjne #rodzinne,1.5-2h,Aquarium ze słodkowodnymi rybami,Codziennie; 10:00-18:00
131,Park Miniatur Łódź,Rozrywka/Edukacja,Łódź,"51.7700, 19.4500",#miniaturki #edukacyjne #rodzinne,1.5-2h,Park miniatur polskich zabytków,Maj-wrzesień; 10:00-18:00
132,Muzeum Techniki Łódź,Technika/Historia,Łódź,"51.7600, 19.4400",#technika #historia #edukacyjne,1.5-2h,Muzeum maszyn i wynalazków,Wtorek-niedziela; 9:00-17:00
133,Park Rowerowy Łódź,Rozrywka/Sport,Łódź,"51.7700, 19.4500",#rower #trasy #rodzinne,2-3h,Park z trasami rowerowymi,Maj-wrzesień; 9:00-18:00
134,Muzeum Sztuki Łódź,Sztuka/Kultura,Łódź,"51.7800, 19.4600",#sztuka współczesna #wystawy #galeria,2-3h,Galeria sztuki współczesnej,Wtorek-niedziela; 10:00-18:00
135,Park Treningowy Łódź,Rozrywka/Sport,Łódź,"51.7850, 19.4700",#fitness #sport #rodzinne,1.5-2h,Park z urządzeniami treningowymi,Cały rok; 9:00-21:00
136,Skansen Łódź,Kultura/Tradycja,Łódź,"51.7700, 19.4500",#tradycja #architektura #edukacyjne,2-3h,Skansen tradycyjnych chat,Maj-wrzesień; 10:00-17:00
137,Muzeum Historii Łódziego,Historia/Pamiątka,Łódź,"51.7754, 19.4563",#II WŚ #historia #edukacyjne,1.5-2h,Muzeum o historii miasta,Wtorek-niedziela; 10:00-17:00
138,Park Edukacyjny Łódź,Rozrywka/Edukacja,Łódź,"51.7850, 19.4700",#edukacja #rodzinne #aktywne,2-3h,Park z edukacyjnymi stanowiskami,Maj-wrzesień; 10:00-18:00
139,Muzeum Przyrody Łódź,Przyroda/Edukacja,Łódź,"51.7700, 19.4500",#przyroda #fauna #flora #edukacyjne,1.5-2h,Muzeum z kolekcją przyrodniczą,Wtorek-niedziela; 9:00-17:00
140,Fotostudio Artystyczne Łódź,Sztuka/Fotografia,Łódź,"51.7700, 19.4500",#fotografia #sztuka #galeria,1-2h,Galeria fotografii,Wtorek-niedziela; 12:00-18:00
141,Muzeum Rękodzieła Łódź,Kultura/Tradycja,Łódź,"51.7650, 19.4450",#rękodzieło #tradycja #edukacyjne,1.5-2h,Muzeum tradycyjnych rzemiosł,Wtorek-sobota; 10:00-16:00
142,Park Linowy Łódź,Rozrywka/Przygoda,Łódź,"51.7600, 19.4400",#przygoda #aktywne #rodzinne,2-3h,Park ze ścieżkami linowymi,Maj-wrzesień; 10:00-18:00
