LP,Nazwa,Typ Galerii,Lokalizacja,GPS,Vibe,Czas zwiedzania,Opis,Godziny otwarcia
39,Galeria Designer,Outlet Handlowy,Wrocław,"51.0900, 16.9600",#outlet #moda #rabaty,2-3h,Outlet marek designerskich z rabatami,Codziennie 10:00-20:00
40,Galeria Dominikańska,Galeria Śródmieścia,Wrocław,"50.9975, 17.0355",#luksus #moda #centrum,Cały dzień,"150+ sklepów marek premium, Stare Miasto",Codziennie 10:00-21:00
41,Galeria Gwiezdna,Galeria Handlowa,Legnica,"51.2050, 16.1620",#moda #gastronomia #usługi,2-3h,"100+ sklepów, restauracje, usługi",Codziennie 9:00-21:00
42,Galeria Kamienic,Galeria Śródmieścia,Wrocław,"51.1034, 17.0356",#tradycja #moda #spacer,1-2h,"60+ sklepów, kawiarni, galerii sztuki",Codziennie 9:00-21:00
43,Galeria Oławska,Galeria Handlowa,Oława,"50.6240, 17.3200",#moda #hipermarkt #gastronomia,1-2h,"60+ sklepów, Carrefour, kawiarnie",Codziennie 10:00-20:00
44,Galeria Piastów Lubin,Galeria Handlowa,Lubin,"51.4020, 16.1980",#moda #gastronomia #usługi,2-3h,"50+ sklepów, restauracje, usługi",Codziennie 9:00-20:00
45,Galeria Sudecka,Mega Galeria,Jelenia Góra,"50.9227, 15.7631",#moda #kino #rodzinne,Cały dzień,"100+ sklepów, kino Helios, Auchan",Codziennie 9:00-21:00
46,Galeria Zabobrze,Galeria Handlowa,Jelenia Góra,"50.9280, 15.7700",#moda #gastronomia #usługi,1-2h,"50+ sklepów, kawiarnie, restauracje",Codziennie 9:00-20:00
47,Galeria Złota,Galeria Śródmieścia,Wrocław,"51.1000, 17.0350",#moda #gastronomia #spacer,2-3h,"100+ sklepów, restauracje, kawiarnie",Codziennie 9:00-21:00
48,Galeria Auchan Legnica,Hyper Galeria,Legnica,"51.2089, 16.1592",#hipermarkt #moda #rozrywka,Cały dzień,"100+ sklepów, Auchan, kino, food court",Poniedziałek-Niedziela 8:00-22:00
49,Magnolia Park,Mega Galeria,Wrocław,"54.1998, 17.0281",#moda #rozrywka #kino,Cały dzień,"260+ sklepów, Carrefour, kino Helios, 3000 parkingów",Codziennie 9:00-21:00
50,Pasaż Grunwaldzki,Galeria Śródmieścia,Wrocław,"51.1034, 17.0356",#tradycja #moda #spacer,2-3h,"80+ sklepów i kawiarni, historyczny pasaż",Codziennie 9:00-20:00
51,Przystanek Karkonosze,Park Handlowy,Karpacz,"50.7980, 15.7780",#moda #outlet #rodzinne,2-3h,Największy park handlowy Karkonoszy,Codziennie 10:00-21:00
52,Rynek Wrocławski,Śródmieście,Wrocław,"50.9975, 17.0355",#tradycja #moda #spacer,1-2h,"Historyczny rynek - stall, kawiarnie, restauracje",Codziennie 9:00-22:00
53,STOP SHOP Legnica,Park Handlowy,Legnica,"51.2089, 16.1592",#zakupy #moda #elektronika,2-3h,"Odzież, sportowe, elektronika, meble, DIY",Codziennie 9:00-21:00
54,Twierdza Kłodzko,Galeria Handlowa,Kłodzko,"50.4340, 16.6520",#moda #kino #rodzinne,2-3h,"80+ sklepów, kino Multikino, 1200 parkingów",Poniedziałek-Sobota 9:00-21:00
55,Wrocław Fashion Outlet,Outlet Handlowy,Pawęzna,"51.0580, 16.9580",#outlet #moda #rabaty,2-4h,"100+ marek z rabatami do -70%, sportowe",Codziennie 10:00-21:00
