LP,Nazwa,Kategoria,Lokalizacja,GPS,Vibe,Czas,Opis,Sezon/Godziny
114,Spa Piwniczna,Relaks/Zdrowie,Piwniczna-Zdrój,"49.7000, 20.6500",#spa #masaże #zabiegi,2-4h,Kompleks SPA z zabiegami,Cały rok; 8:00-20:00
115,Restauracja Rybacka Dunajec,Kultura/Gastronomia,Dunajec,"49.3500, 20.7000",#ryby #regionalny #widok,2-3h,Restauracja nad rzeką,Codziennie; 11:00-22:00
116,Piekarnia Szotów,Kultura/Gastronomia,Szotów,"49.3500, 20.8000",#chleb #tradycja #pieczenie,0.5-1h,Tradycyjna piekarnia,Poniedziałek-sobota; 7:00-17:00
117,Kawiarnia Pienin,Kultura/Gastronomia,Krościenko,"49.4200, 20.6800",#kawiarnia #sztuka #relaks,1-2h,Kawiarnia z widokiem,Wtorek-niedziela; 10:00-18:00
118,Restauracja Zabytkowa Pszczyna,Kultura/Gastronomia,Pszczyna,"50.0480, 18.9810",#tradycyjna kuchnia #pałacowa #relaks,2-3h,Restauracja przy zamku,Codziennie; 12:00-22:00
119,Kawiarnia Sądecka Piwniczna,Kultura/Gastronomia,Piwniczna-Zdrój,"49.7000, 20.6500",#kawiarnia #relaks #eksotyczne,1-2h,Kawiarnia z zabytkowym wnętrzem,Codziennie; 9:00-19:00
120,Restauracja Górki Zabrze,Kultura/Gastronomia,Zabrze,"50.3100, 18.7600",#tradycyjna kuchnia #industrialne #relaks,2-3h,Restauracja z tradycją,Codziennie; 12:00-22:00
121,Muzeum Żołnierza Zapomniany Kraków,Historia/Militaria,Kraków,"50.0469, 19.9383",#militarne #II WŚ #edukacyjne,1.5-2h,Muzeum żołnierzy II Wojny,Wtorek-niedziela; 10:00-17:00
122,Park Dinozaurów Kraków,Rozrywka/Edukacja,Kraków,"50.0500, 19.9400",#dinozaury #rodzinne #edukacyjne,2-3h,Park z figurami dinozaurów,Maj-wrzesień; 10:00-18:00
123,Muzeum Chleba Kraków,Historia/Kultura,Kraków,"50.0469, 19.9383",#tradycja #piekarstwo #edukacyjne,1-1.5h,Muzeum tradycji piekarstwa,Wtorek-sobota; 10:00-16:00
124,Obserwatorium Astronomiczne Kraków,Nauka/Edukacja,Kraków,"50.0600, 19.9500",#astronomia #teleskopy #edukacyjne,1.5-2h,Obserwatorium z pokazami,Piątek-niedziela; 19:00-22:00
125,Aquarium Kraków,Przyroda/Edukacja,Kraków,"50.0500, 19.9400",#ryby #edukacyjne #rodzinne,1.5-2h,Aquarium ze słodkowodnymi rybami,Codziennie; 10:00-18:00
126,Park Miniatur Kraków,Rozrywka/Edukacja,Kraków,"50.0500, 19.9400",#miniaturki #edukacyjne #rodzinne,1.5-2h,Park miniatur polskich zabytków,Maj-wrzesień; 10:00-18:00
127,Muzeum Techniki Kraków,Technika/Historia,Kraków,"50.0400, 19.9300",#technika #historia #edukacyjne,1.5-2h,Muzeum maszyn i wynalazków,Wtorek-niedziela; 9:00-17:00
128,Park Rowerowy Kraków,Rozrywka/Sport,Kraków,"50.0500, 19.9400",#rower #trasy #rodzinne,2-3h,Park z trasami rowerowymi,Maj-wrzesień; 9:00-18:00
129,Muzeum Sztuki Kraków,Sztuka/Kultura,Kraków,"50.0550, 19.9450",#sztuka współczesna #wystawy #galeria,2-3h,Galeria sztuki współczesnej,Wtorek-niedziela; 10:00-18:00
130,Park Treningowy Kraków,Rozrywka/Sport,Kraków,"50.0600, 19.9500",#fitness #sport #rodzinne,1.5-2h,Park z urządzeniami treningowymi,Cały rok; 9:00-21:00
131,Skansen Bukowina,Kultura/Tradycja,Kraków,"50.0500, 19.9400",#tradycja #architektura #edukacyjne,2-3h,Skansen tradycyjnych chat,Maj-wrzesień; 10:00-17:00
132,Muzeum Historii Oświęcim,Historia/Pamiątka,Oświęcim,"50.0313, 19.1831",#II WŚ #historia #edukacyjne,1.5-2h,Muzeum o historii miasta,Wtorek-niedziela; 10:00-17:00
133,Park Edukacyjny Katowice,Rozrywka/Edukacja,Katowice,"50.2569, 19.0237",#edukacja #rodzinne #aktywne,2-3h,Park z edukacyjnymi stanowiskami,Maj-wrzesień; 10:00-18:00
134,Muzeum Przyrody Kraków,Przyroda/Edukacja,Kraków,"50.0500, 19.9400",#przyroda #fauna #flora #edukacyjne,1.5-2h,Muzeum z kolekcją przyrodniczą,Wtorek-niedziela; 9:00-17:00
135,Fotostudio Artystyczne Kraków,Sztuka/Fotografia,Kraków,"50.0500, 19.9400",#fotografia #sztuka #galeria,1-2h,Galeria fotografii,Wtorek-niedziela; 12:00-18:00
136,Muzeum Rękodzieła Kraków,Kultura/Tradycja,Kraków,"50.0450, 19.9350",#rękodzieło #tradycja #edukacyjne,1.5-2h,Muzeum tradycyjnych rzemiosł,Wtorek-sobota; 10:00-16:00
137,Park Linowy Kraków,Rozrywka/Przygoda,Kraków,"50.0400, 19.9300",#przygoda #aktywne #rodzinne,2-3h,Park ze ścieżkami linowymi,Maj-wrzesień; 10:00-18:00
138,Muzeum Flory Polskiej,Przyroda/Edukacja,Kraków,"50.0600, 19.9500",#botanika #rośliny #edukacyjne,1.5-2h,Muzeum roślin i ekosystemów,Wtorek-niedziela; 10:00-17:00
139,Studio Rzemiosła Kraków,Kultura/Tradycja,Kraków,"50.0469, 19.9383",#rękodzieło #tradycja #warsztaty,1.5-2h,Studio z warsztatami,Maj-wrzesień; 10:00-17:00
140,Park Zabawy Kraków,Rozrywka/Rodzinne,Kraków,"50.0550, 19.9450",#zabawy #dzieci #aktywne,2-3h,Park z zabawkami i przeszkodami,Maj-wrzesień; 10:00-18:00
141,Galeria Sztuki Nowoczesnej Kraków,Sztuka/Kultura,Kraków,"50.0500, 19.9400",#sztuka współczesna #wystawy #galeria,1.5-2h,Galeria sztuki współczesnej,Wtorek-niedziela; 11:00-17:00
